Date,Hours,Subject,Category,Notes
2026-06-29,0.25,Private chat with Shaun - scheduling,Meetings,Coordinated availability for upcoming meeting
2026-06-30,0.1,Scheduling coordination,Admin,Shaun at cottage, reschedule for next week
2026-07-05,0.1,Scheduling - check availability,Admin,When are you back in town?
2026-07-06,0.15,Scheduling coordination,Admin,Back today until Thursday, pick your time
2026-07-06,1.5,Breakfast meeting with Shaun,Meetings,Allo Mon Coco, Billings Bridge - 9:00am
2026-07-08,0.25,Laptop update coordination,Admin,Laptop ready by 3, leaving with Malcolm
2026-07-09,0.25,Laptop pickup coordination,Admin,Message Malcolm prior to pickup
2026-07-10,0.1,Laptop follow-up,Admin,Confirmed no issues with laptop
2026-07-11,1.0,Business thinking/planning,Strategy,Dedicated hour to think about bettering the business
2026-07-11,0.5,Website forms issue discovered,Admin,Missed 6 expo requests - forms going to junk mail
2026-07-11,0.5,L'Arch community housing connection,Business Development,Met Director at outdoor party - new partnership opportunity
2026-07-14,0.25,Stress/venting about workload,Admin,Overwhelmed by amount of work, sleep issues
2026-07-14,0.1,New client requests,Client Work,3 new requests this week
2026-08-11,0.1,Post-wedding check-in,Admin,Thank you for coming to wedding, ready to get back to business
2026-08-13,0.1,Scheduling meeting,Admin,Available after 3:00 today or tomorrow
2026-08-13,1.0,Meeting at gym/train yards,Meetings,Met Shaun at gym area
2026-08-14,0.5,Phone call - business issue,Meetings,Can we talk? Explain issue verbally
2026-08-14,1.0,Meeting at train yards,Meetings,2:30 meeting with Shaun
2026-08-17,1.0,Business vision discussion,Strategy,Why you want to do this - 1 page writing exercise
2026-08-17,0.25,10K contracts landed,Business Development,Shaun and Eric landed 10K in contracts in 24 hours
2026-08-19,0.1,Scheduling next meeting,Admin,Done early at 2:30, available that night
2026-08-20,1.0,Meeting at Bridgehead,Meetings,Second and Bank - kept it light, nerves still fried
2026-08-21,0.25,Shaun meeting preparation,Admin,Cancellation - Shaun meeting to go over stuff
2026-08-25,0.5,Employee vs friend discussion,Strategy,Shaun thing stressing me out - caught between friend and employee
2026-08-25,0.25,Strategy discussion about Shaun,Strategy,Design the outcome: Best/Likely/Worst case scenarios
2026-08-27,0.5,Document preparation,Document drafting,Contracts ready - Google Drive, track changes
2026-08-27,0.25,Client scheduling coordination,Client Work,Shaun taking Danny at 4:30, Eric taking Hannah
2026-08-27,0.1,Quick call,Meetings,Two seconds and I'll leave you alone
2026-08-27,1.0,Repo setup and handoff review,Document drafting,Read handoff, connected Drive, established tracking docs
2026-08-27,0.5,Drive admin folder and tracking docs,Admin setup,Created Enabling the Disabled - Admin folder, Effort Log sheet, Journal doc
